image_path,condition,contour_id,contour_points
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_109_65e43ce0-1.0056.png,1,0,"[[[537, 193]], [[536, 194]], [[537, 195]], [[538, 194]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_109_65e43ce0-1.0056.png,1,1,"[[[560, 157]], [[559, 158]], [[560, 159]], [[561, 158]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_109_65e43ce0-1.0056.png,1,2,"[[[547, 154]], [[546, 155]], [[546, 156]], [[548, 158]], [[550, 156]], [[548, 154]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_126_31b2768b-1.0073.png,1,0,"[[[592, 151]], [[590, 153]], [[589, 153]], [[588, 152]], [[587, 152]], [[585, 154]], [[583, 152]], [[582, 153]], [[583, 154]], [[579, 158]], [[581, 160]], [[585, 156]], [[586, 156]], [[587, 155]], [[588, 155]], [[589, 154]], [[590, 154]], [[594, 158]], [[598, 158]], [[599, 159]], [[600, 159]], [[601, 160]], [[602, 159]], [[603, 159]], [[604, 160]], [[605, 159]], [[605, 157]], [[602, 154]], [[603, 153]], [[602, 152]], [[598, 152]], [[597, 153]], [[595, 153]], [[594, 152]], [[593, 152]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_138_d3401c89-1.0085.png,1,0,"[[[634, 185]], [[633, 186]], [[634, 187]], [[634, 190]], [[636, 192]], [[637, 191]], [[639, 193]], [[640, 192]], [[640, 190]], [[637, 187]], [[636, 187]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_138_d3401c89-1.0085.png,1,1,"[[[637, 172]], [[636, 173]], [[637, 174]], [[638, 173]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_161_0c92bf79-1.0180.png,1,0,"[[[619, 185]], [[618, 186]], [[619, 187]], [[619, 188]], [[620, 189]], [[622, 189]], [[624, 191]], [[625, 190]], [[630, 190]], [[631, 191]], [[632, 190]], [[633, 190]], [[634, 191]], [[635, 191]], [[636, 190]], [[640, 190]], [[643, 187]], [[642, 186]], [[640, 186]], [[639, 187]], [[635, 187]], [[632, 190]], [[628, 186]], [[627, 187]], [[624, 187]], [[623, 186]], [[620, 186]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_161_0c92bf79-1.0180.png,1,1,"[[[617, 170]], [[616, 171]], [[617, 172]], [[618, 171]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_161_0c92bf79-1.0180.png,1,2,"[[[618, 155]], [[617, 156]], [[619, 158]], [[620, 157]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_163_2be54f63-1.0182.png,1,0,"[[[592, 190]], [[590, 192]], [[591, 193]], [[592, 193]], [[593, 192]], [[593, 191]]]"
