deformability,area,area_ratio,circularity,convex_hull_area,mask_x_length,mask_y_length,min_x,min_y,max_x,max_y,mean_brightness,brightness_std,perimeter,aspect_ratio,convex_hull_perimeter,cell_id,image_name,is_cropped
1.0,9693,0.0,0.0,0,22,512,74,0,96,512,68.3125,33.710567241593544,1096.2670273047588,0.04296875,0.0,0,image.1584_with_target,False
1.0,5,0.0,0.0,0,3,3,65,482,68,485,102.98814229249012,7.316926185351828,5.656854249492381,1.0,0.0,1,image.1584_with_target,False
1.0,19,0.0,0.0,0,7,9,60,486,67,495,102.984375,7.156164710190438,8.485281374238571,0.7777777777777778,0.0,2,image.1584_with_target,False
1.0,5,0.0,0.0,0,3,3,55,461,58,464,102.84189723320158,6.952599505132383,5.656854249492381,1.0,0.0,3,image.1584_with_target,False
1.0,8,0.0,0.0,0,4,3,54,496,58,499,103.172,6.898580723598152,7.65685424949238,1.3333333333333333,0.0,4,image.1584_with_target,False
1.0,8,0.0,0.0,0,4,3,50,459,54,462,103.376,7.216829220648082,7.65685424949238,1.3333333333333333,0.0,5,image.1584_with_target,False
1.0,8,0.0,0.0,0,4,3,48,498,52,501,103.124,6.5498567923276,7.65685424949238,1.3333333333333333,0.0,6,image.1584_with_target,False
1.0,54,0.0,0.0,0,19,11,30,458,49,469,104.12941176470588,7.728919314601901,36.627416997969526,1.7272727272727273,0.0,7,image.1584_with_target,False
1.0,9515,0.0,0.0,0,22,512,0,0,22,512,68.28571428571429,42.3484894396852,1070.6690475583123,0.04296875,0.0,8,image.1584_with_target,False
1.0,9757,0.0,0.0,0,23,512,73,0,96,512,69.0546875,33.93590203276382,1093.2964645562815,0.044921875,0.0,0,image.2375_with_target,False
1.0,10929,0.0,0.0,0,64,512,0,0,64,512,61.976190476190474,30.350456780044837,1166.066017177982,0.125,0.0,1,image.2375_with_target,False
1.0,9762,0.0,0.0,0,23,512,73,0,96,512,68.91796875,33.71452286662268,1093.0538238691624,0.044921875,0.0,0,image.1081_with_target,False
1.0,9502,0.0,0.0,0,22,512,0,0,22,512,67.80314960629921,42.000007380966494,1067.3553390593274,0.04296875,0.0,1,image.1081_with_target,False
1.0,9766,0.0,0.0,0,23,512,73,0,96,512,68.42745098039215,33.817758871207396,1096.6101730552666,0.044921875,0.0,0,image.0401_with_target,False
1.0,10030,0.0,0.0,0,68,512,0,0,68,512,62.568627450980394,34.55864858807063,1314.5046173579947,0.1328125,0.0,1,image.0401_with_target,False
1.0,9770,0.0,0.0,0,23,512,73,0,96,512,69.03921568627452,33.837536173409745,1097.5746391493337,0.044921875,0.0,0,image.4744_with_target,False
1.0,21,0.0,0.0,0,6,10,64,422,70,432,100.38976377952756,7.886101944637018,14.899494936611665,0.6,0.0,1,image.4744_with_target,False
1.0,8,0.0,0.0,0,4,4,61,418,65,422,100.4453125,7.3896132698094394,5.656854249492381,1.0,0.0,2,image.4744_with_target,False
1.0,37,0.0,0.0,0,9,14,30,435,39,449,101.0078125,8.250943216677943,22.31370849898476,0.6428571428571429,0.0,3,image.4744_with_target,False
1.0,5,0.0,0.0,0,3,3,30,428,33,431,101.58498023715416,7.250847824190624,5.656854249492381,1.0,0.0,4,image.4744_with_target,False
1.0,9503,0.0,0.0,0,22,512,0,0,22,512,67.60317460317461,42.01021783590639,1068.1837661840736,0.04296875,0.0,5,image.4744_with_target,False
1.0,9738,0.0,0.0,0,23,512,73,0,96,512,67.79607843137255,33.501383997073,1097.7817459305202,0.044921875,0.0,0,image.8553_with_target,False
1.0,9523,0.0,0.0,0,27,512,0,0,27,512,66.81960784313725,41.19259889552711,1070.6690475583123,0.052734375,0.0,1,image.8553_with_target,False
1.0,9746,0.0,0.0,0,23,512,73,0,96,512,68.68482490272373,33.73756988664863,1095.5391052434009,0.044921875,0.0,0,image.5135_with_target,False
1.0,46,0.0,0.0,0,7,10,57,458,64,468,100.98828125,8.114648416345494,24.14213562373095,0.7,0.0,1,image.5135_with_target,False
1.0,11,0.0,0.0,0,5,5,56,452,61,457,100.37549407114625,7.611445527412205,5.656854249492381,1.0,0.0,2,image.5135_with_target,False
1.0,9576,0.0,0.0,0,43,512,0,0,43,512,66.70238095238095,40.74157224036377,1116.8822509939084,0.083984375,0.0,3,image.5135_with_target,False
1.0,9760,0.0,0.0,0,23,512,73,0,96,512,69.33201581027669,33.993379422368555,1097.1959594928933,0.044921875,0.0,0,image.6567_with_target,False
1.0,9462,0.0,0.0,0,22,512,0,0,22,512,67.85714285714286,42.08923141803072,1065.698484809835,0.04296875,0.0,1,image.6567_with_target,False
1.0,9839,0.0,0.0,0,23,512,73,0,96,512,68.70472440944881,33.92040557964821,1084.2253967444162,0.044921875,0.0,0,image.4031_with_target,False
1.0,5,0.0,0.0,0,3,3,37,443,40,446,103.63636363636364,7.3717078682918915,5.656854249492381,1.0,0.0,1,image.4031_with_target,False
