image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image.0023_with_target,3,1.0,0.0,1.0,1.0,6414.666666666667,19244
image.0025_with_target,3,1.0,0.0,1.0,1.0,13.0,39
image.0031_with_target,8,1.0,0.0,1.0,1.0,2482.625,19861
image.0038_with_target,4,1.0,0.0,1.0,1.0,5769.75,23079
image.0049_with_target,5,1.0,0.0,1.0,1.0,4285.6,21428
image.0060_with_target,2,1.0,0.0,1.0,1.0,10008.0,20016
image.0069_with_target,2,1.0,0.0,1.0,1.0,10357.0,20714
image.0077_with_target,2,1.0,0.0,1.0,1.0,10016.0,20032
image.0093_with_target,2,1.0,0.0,1.0,1.0,42.5,85
image.0094_with_target,1,1.0,,1.0,1.0,14.0,14
image.0101_with_target,2,1.0,0.0,1.0,1.0,9978.0,19956
image.0127_with_target,5,1.0,0.0,1.0,1.0,4371.0,21855
image.0154_with_target,7,1.0,0.0,1.0,1.0,3045.714285714286,21320
image.0191_with_target,8,1.0,0.0,1.0,1.0,5268.75,42150
image.0220_with_target,2,1.0,0.0,1.0,1.0,98.0,196
image.0226_with_target,2,1.0,0.0,1.0,1.0,10349.5,20699
image.0230_with_target,10,1.0,0.0,1.0,1.0,2006.4,20064
image.0231_with_target,4,1.0,0.0,1.0,1.0,5026.5,20106
image.0236_with_target,5,1.0,0.0,1.0,1.0,4394.4,21972
image.0240_with_target,6,1.0,0.0,1.0,1.0,3530.1666666666665,21181
image.0246_with_target,2,1.0,0.0,1.0,1.0,9992.0,19984
image.0263_with_target,3,1.0,0.0,1.0,1.0,8269.0,24807
image.0288_with_target,6,1.0,0.0,1.0,1.0,3323.5,19941
image.0313_with_target,6,1.0,0.0,1.0,1.0,3601.5,21609
image.0319_with_target,8,1.0,0.0,1.0,1.0,2434.625,19477
image.0329_with_target,2,1.0,0.0,1.0,1.0,768.0,1536
image.0335_with_target,2,1.0,0.0,1.0,1.0,10014.0,20028
image.0366_with_target,3,1.0,0.0,1.0,1.0,6413.333333333333,19240
image.0368_with_target,11,1.0,0.0,1.0,1.0,1864.6363636363637,20511
image.0394_with_target,5,1.0,0.0,1.0,1.0,3868.8,19344
image.0401_with_target,5,1.0,0.0,1.0,1.0,4077.2,20386
image.0404_with_target,3,1.0,0.0,1.0,1.0,6413.0,19239
image.0407_with_target,2,1.0,0.0,1.0,1.0,41.0,82
image.0418_with_target,4,1.0,0.0,1.0,1.0,4820.75,19283
image.0424_with_target,2,1.0,0.0,1.0,1.0,10016.5,20033
image.0427_with_target,5,1.0,0.0,1.0,1.0,4375.6,21878
image.0469_with_target,4,1.0,0.0,1.0,1.0,5094.0,20376
image.0493_with_target,3,1.0,0.0,1.0,1.0,6687.0,20061
image.0499_with_target,2,1.0,0.0,1.0,1.0,12621.0,25242
image.0513_with_target,8,1.0,0.0,1.0,1.0,2604.5,20836
image.0532_with_target,2,1.0,0.0,1.0,1.0,10034.0,20068
image.0536_with_target,3,1.0,0.0,1.0,1.0,8339.0,25017
image.0549_with_target,3,1.0,0.0,1.0,1.0,8231.0,24693
image.0551_with_target,2,1.0,0.0,1.0,1.0,10015.5,20031
image.0576_with_target,2,1.0,0.0,1.0,1.0,10035.0,20070
image.0580_with_target,6,1.0,0.0,1.0,1.0,3350.8333333333335,20105
image.0612_with_target,2,1.0,0.0,1.0,1.0,10028.5,20057
image.0615_with_target,5,1.0,0.0,1.0,1.0,3881.8,19409
image.0625_with_target,2,1.0,0.0,1.0,1.0,10046.5,20093
image.0627_with_target,2,1.0,0.0,1.0,1.0,10040.5,20081
image.0637_with_target,2,1.0,0.0,1.0,1.0,10017.0,20034
image.0654_with_target,2,1.0,0.0,1.0,1.0,10020.0,20040
image.0690_with_target,2,1.0,0.0,1.0,1.0,10020.5,20041
image.0693_with_target,5,1.0,0.0,1.0,1.0,3860.2,19301
image.0695_with_target,2,1.0,0.0,1.0,1.0,10020.0,20040
image.0711_with_target,10,1.0,0.0,1.0,1.0,1944.0,19440
image.0719_with_target,5,1.0,0.0,1.0,1.0,4927.2,24636
image.0720_with_target,3,1.0,0.0,1.0,1.0,6671.333333333333,20014
image.0721_with_target,11,1.0,0.0,1.0,1.0,3588.090909090909,39469
image.0737_with_target,1,1.0,,1.0,1.0,73.0,73
image.0738_with_target,2,1.0,0.0,1.0,1.0,10011.5,20023
image.0746_with_target,2,1.0,0.0,1.0,1.0,10026.0,20052
image.0757_with_target,2,1.0,0.0,1.0,1.0,9981.5,19963
image.0768_with_target,2,1.0,0.0,1.0,1.0,10009.5,20019
image.0780_with_target,15,1.0,0.0,1.0,1.0,2742.8,41142
image.0788_with_target,9,1.0,0.0,1.0,1.0,2235.1111111111113,20116
