image_name,is_cropped,total_area,roi_area,processing_time
image.1584_with_target,False,19320,19315,-1740975922873.465
image.2375_with_target,False,20704,20686,-1740975922873.5698
image.1081_with_target,False,19272,19264,-1740975922873.8245
image.0401_with_target,False,19796,19796,-1740975922873.6853
image.4744_with_target,False,19357,19344,-1740975922873.1343
image.8553_with_target,False,19274,19261,-1740975922873.2668
image.5135_with_target,False,19392,19379,-1740975922872.9575
image.6567_with_target,False,19230,19222,-1740975922873.2937
image.4031_with_target,False,19939,19931,-1740975922873.0134
image.0693_with_target,False,19252,19252,-1740975922873.005
image.7884_with_target,False,20728,20714,-1740975922871.4824
image.3423_with_target,False,19263,19263,-1740975922872.2295
image.4586_with_target,False,19325,19315,-1740975922872.447
image.9419_with_target,False,19262,19248,-1740975922871.9004
image.7031_with_target,False,19256,19251,-1740975922872.2766
image.3402_with_target,False,19252,19234,-1740975922872.7695
image.8347_with_target,False,19412,19399,-1740975922872.8835
image.3307_with_target,False,20685,20672,-1740975922872.8025
image.5821_with_target,False,19266,19256,-1740975922871.7275
image.0319_with_target,False,19359,19343,-1740975922871.06
image.0903_with_target,False,19328,19320,-1740975922871.918
image.2415_with_target,False,19315,19310,-1740975922871.4307
image.1747_with_target,False,20635,20622,-1740975922871.4614
image.4480_with_target,False,20638,20638,-1740975922874.1108
image.3682_with_target,False,20591,20586,-1740975922871.8638
image.7199_with_target,False,20731,20731,-1740975922874.357
image.7402_with_target,False,19213,19213,-1740975922874.454
image.9718_with_target,False,19358,19350,-1740975922873.0867
image.8388_with_target,False,19683,19670,-1740975922874.0784
image.9847_with_target,False,19258,19245,-1740975922874.15
image.2274_with_target,False,19322,19322,-1740975922874.1487
image.0418_with_target,False,19267,19257,-1740975922874.3662
image.6230_with_target,False,19234,19234,-1740975922874.4548
image.9426_with_target,False,19365,19354,-1740975922872.9666
image.7347_with_target,False,19420,19415,-1740975922873.4297
image.2619_with_target,False,20682,20682,-1740975922874.2021
image.1514_with_target,False,20551,19243,-1740975922874.1345
image.6575_with_target,False,19314,19304,-1740975922873.978
image.9101_with_target,False,19343,19338,-1740975922873.6384
image.3301_with_target,False,19346,19336,-1740975922874.3296
image.6269_with_target,False,20641,20636,-1740975922873.1357
image.0031_with_target,False,19592,19584,-1740975922874.422
image.2920_with_target,False,20661,20661,-1740975922873.2534
image.4442_with_target,False,19552,19541,-1740975922874.132
image.4956_with_target,False,19308,19303,-1740975922872.273
image.9853_with_target,False,19696,19636,-1740975922873.6138
image.6108_with_target,False,19216,19211,-1740975922874.3657
image.8670_with_target,False,20908,19539,-1740975922873.2803
image.8865_with_target,False,19337,19275,-1740975922873.3389
image.1268_with_target,False,19646,19641,-1740975922872.95
image.6899_with_target,False,19333,19320,-1740975922867.9111
image.9964_with_target,False,19553,19543,-1740975922870.425
image.9013_with_target,False,20718,20705,-1740975922873.3179
image.2836_with_target,False,19295,19287,-1740975922874.178
image.7879_with_target,False,19856,19807,-1740975922873.806
image.5827_with_target,False,19254,19249,-1740975922874.3337
image.7672_with_target,False,19870,19857,-1740975922872.4631
image.8786_with_target,False,19237,19218,-1740975922874.4065
image.8366_with_target,False,20705,20691,-1740975922874.2686
image.6531_with_target,False,19254,19234,-1740975922873.0408
image.1609_with_target,False,19985,19282,-1740975922873.9717
image.4978_with_target,False,19534,19534,-1740975922872.7893
image.1517_with_target,False,20571,20561,-1740975922873.5747
image.9565_with_target,False,19224,19210,-1740975922874.0715
image.8484_with_target,False,19654,19649,-1740975922874.2656
image.5396_with_target,False,20703,20703,-1740975922874.2852
image.1126_with_target,False,19265,19260,-1740975922874.28
image.0721_with_target,False,19343,19343,-1740975922873.6426
image.4025_with_target,False,19361,19320,-1740975922871.25
image.9812_with_target,False,19230,19216,-1740975922874.3293
image.6887_with_target,False,19834,19829,-1740975922873.6914
image.4510_with_target,False,20687,20687,-1740975922874.1304
image.9156_with_target,False,19194,19186,-1740975922874.3828
image.3069_with_target,False,19507,19502,-1740975922874.2468
image.1025_with_target,False,19630,19616,-1740975922873.579
image.3141_with_target,False,21142,20589,-1740975922874.1948
image.9757_with_target,False,19258,19244,-1740975922869.1396
image.5887_with_target,False,19620,19612,-1740975922873.619
image.1796_with_target,False,19463,19447,-1740975922873.7417
image.6682_with_target,False,19293,19288,-1740975922873.1833
image.4224_with_target,False,20653,20653,-1740975922874.0715
image.5255_with_target,False,21199,19798,-1740975922874.33
image.5967_with_target,False,19301,19296,-1740975922874.278
image.0288_with_target,False,19878,19742,-1740975922873.3862
image.8032_with_target,False,19271,19263,-1740975922874.197
image.8425_with_target,False,19217,19209,-1740975922874.1033
image.7074_with_target,False,19397,19387,-1740975922873.254
image.4817_with_target,False,19363,19350,-1740975922874.2744
image.8491_with_target,False,19322,19309,-1740975922874.293
image.8134_with_target,False,20512,20494,-1740975922873.2524
image.5256_with_target,False,20806,20636,-1740975922874.4324
image.3444_with_target,False,19260,19255,-1740975922874.088
image.8196_with_target,False,19232,19222,-1740975922874.248
image.9962_with_target,False,20835,20714,-1740975922874.1753
image.7581_with_target,False,19397,19361,-1740975922874.2363
image.1601_with_target,False,19316,19302,-1740975922874.4395
image.1537_with_target,False,20616,20600,-1740975922874.3184
image.3865_with_target,False,19257,19244,-1740975922874.409
image.7106_with_target,False,20722,20712,-1740975922874.219
image.5623_with_target,False,20584,20584,-1740975922870.3362
image.2695_with_target,False,19358,19342,-1740975922873.6467
image.0236_with_target,False,20687,20616,-1740975922873.774
image.5919_with_target,False,20587,20577,-1740975922874.0767
image.7738_with_target,False,19428,19428,-1740975922874.3293
image.5266_with_target,False,19461,19456,-1740975922874.142
image.6999_with_target,False,19218,19213,-1740975922874.4048
image.4676_with_target,False,20617,20612,-1740975922873.319
image.4292_with_target,False,20582,20582,-1740975922873.301
image.9061_with_target,False,19244,19244,-1740975922873.9985
image.5403_with_target,False,20651,20646,-1740975922872.8179
image.1098_with_target,False,19695,19661,-1740975922873.1992
image.5284_with_target,False,19699,19691,-1740975922873.5405
image.0366_with_target,False,19246,19235,-1740975922873.3108
image.9614_with_target,False,19250,19245,-1740975922873.4148
image.3090_with_target,False,20622,20617,-1740975922873.9607
image.3349_with_target,False,21138,21138,-1740975922870.6228
image.4009_with_target,False,19613,19605,-1740975922873.9036
image.8781_with_target,False,19263,19250,-1740975922874.0938
image.3278_with_target,False,19414,19353,-1740975922872.135
image.0427_with_target,False,20564,20564,-1740975922872.664
