image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image.0059_with_target,16,-0.026526711938303638,0.4518516741859842,-0.401247804099482,1.0,69.5,1112
image.0096_with_target,10,0.4844489914320988,0.418966712331027,-0.01408873712418357,0.8565891481861388,4794.2,47942
image.0108_with_target,12,0.19513543665682367,0.7406243805218266,-1.0783863689617394,0.8329400116920094,3916.1666666666665,46994
image.0111_with_target,22,0.19922838280366492,0.4913515730162361,-0.30948203685458964,1.0,1888.7272727272727,41552
image.0129_with_target,58,-0.01226475527451359,0.39550793410795526,-0.7724538509055157,1.0,634.3103448275862,36790
image.0156_with_target,20,0.14193935418463907,0.39367265843119514,-0.534153635010947,0.8413043026205171,2353.1,47062
image.0164_with_target,12,-0.06444535146186896,0.5374917549960634,-0.534153635010947,1.0,245.33333333333334,2944
image.0202_with_target,14,0.4748053342670251,0.39836278566534966,0.027587746357342402,1.0,2799.0,39186
image.0220_with_target,28,-0.1377731119744692,0.41050467089473225,-0.534153635010947,1.0,8.642857142857142,242
image.0242_with_target,14,-0.08818132563492613,0.5241132562097354,-0.534153635010947,1.0,219.85714285714286,3078
image.0260_with_target,18,-0.31212752928642534,0.24588401590066747,-0.534153635010947,0.18325213309583332,198.11111111111111,3566
image.0289_with_target,20,-0.6304997128112642,1.6412697732000636,-5.139960247678931,1.0,13.1,262
image.0321_with_target,20,-0.00582290905896723,0.3808036239290522,-0.401247804099482,1.0,183.7,3674
image.0413_with_target,24,0.32690566480180167,0.37503068854532823,-0.19161618898774213,1.0,1966.5833333333333,47198
image.0426_with_target,16,0.35822014727851703,0.48548531136407164,-0.30948203685458964,1.0,2606.5,41704
image.0429_with_target,12,-0.17624473342335326,0.572867925962518,-0.534153635010947,1.0,5.333333333333333,64
image.0440_with_target,24,0.11035851426410757,0.5304594527235468,-0.401247804099482,1.0,1748.75,41970
image.0461_with_target,8,0.5630314732155391,0.34483258761766766,0.023457665262236582,0.8547957348712507,6710.25,53682
image.0516_with_target,20,-0.03393660887114839,0.45261481674739135,-0.534153635010947,1.0,168.6,3372
image.0686_with_target,6,0.8036634644775962,0.06185824974889475,0.723882187871317,0.8465979087535394,7811.333333333333,46868
image.0689_with_target,22,0.06769362691471345,0.4499941000100038,-0.401247804099482,0.8734275775296618,1642.6363636363637,36138
image.0714_with_target,8,0.5623587785731579,0.3547755648401846,-0.0028948416594789528,0.8430300461699338,6049.0,48392
image.0769_with_target,24,0.12716380669887434,0.5184502732916637,-0.401247804099482,1.0,1771.0833333333333,42506
image.0830_with_target,12,0.24325420761675456,0.5790397925459567,-0.401247804099482,1.0,251.66666666666666,3020
image.0896_with_target,10,0.5156779935453175,0.28871844687801707,0.03249273185500656,0.8259644784072199,5387.8,53878
image.0898_with_target,20,0.2204838619093746,0.5086992778888066,-0.401247804099482,1.0,1804.9,36098
image.0907_with_target,24,0.08788426162101214,0.46018839200522804,-0.534153635010947,1.0,137.16666666666666,3292
image.0932_with_target,46,-0.20259878018453983,0.5213088066600383,-1.3447360499173753,0.8721745573515565,773.4782608695652,35580
image.0946_with_target,38,-0.0765498028246482,0.4420887646259911,-0.534153635010947,0.8317495191135567,1246.157894736842,47354
image.1018_with_target,18,-0.015416584805544396,0.27224609645388004,-0.534153635010947,0.24685193560750818,187.66666666666666,3378
image.1027_with_target,48,-0.044551499391650505,0.4714531821665368,-0.7724538509055157,1.0,745.3333333333334,35776
