deformability,area,area_ratio,circularity,convex_hull_area,mask_x_length,mask_y_length,min_x,min_y,max_x,max_y,mean_brightness,brightness_std,perimeter,aspect_ratio,convex_hull_perimeter,cell_id,image_name,batch_name,is_cropped
0.5,260,1.0,0.5,260,18,18,36,440,54,458,129.00392156862745,56.772438634806484,56.87005768508881,1.0,56.87005768508881,0,image.7923_with_target,10_output,False
0.5,14133,1.0,0.5,14133,32,512,0,0,32,512,142.01574803149606,69.68658568505454,1089.0477272147525,0.0625,1089.0477272147525,1,image.7923_with_target,10_output,False
0.5,128,1.0,0.5,128,11,18,37,410,48,428,144.3625498007968,13.418487568945991,46.2842712474619,0.6111111111111112,46.2842712474619,0,image_5916_with_target,10_output,False
0.5,14119,1.0,0.5,14119,33,512,0,0,33,512,144.79296875,70.44584653697848,1090.0832611206852,0.064453125,1090.0832611206852,1,image_5916_with_target,10_output,False
0.5,1627,1.0,0.5,1627,44,47,37,461,81,508,139.63813229571986,1.8028795638637245,149.19595949289334,0.9361702127659575,149.19595949289334,0,image.0426_with_target,10_output,False
0.5,14144,1.0,0.5,14144,32,512,0,0,32,512,142.70817120622567,69.80866326112626,1089.0477272147525,0.0625,1089.0477272147525,1,image.0426_with_target,10_output,False
0.5,82,1.0,0.5,82,8,26,71,461,79,487,137.9921568627451,22.599321898010654,48.87005768508881,0.3076923076923077,48.87005768508881,0,image.7455_with_target,10_output,False
0.5,17,1.0,0.5,17,7,7,67,487,74,494,149.92885375494072,7.076297732233514,5.656854249492381,1.0,5.656854249492381,1,image.7455_with_target,10_output,False
0.5,25,1.0,0.5,25,9,9,41,485,50,494,147.964,7.045757872649329,11.899494936611667,1.0,11.899494936611667,2,image.7455_with_target,10_output,False
0.5,8,1.0,0.5,8,3,4,38,478,41,482,148.164,7.63839669040565,7.65685424949238,0.75,7.65685424949238,3,image.7455_with_target,10_output,False
0.5,75,1.0,0.5,75,17,23,38,454,55,477,148.14117647058825,7.673462711740116,45.284271247461895,0.7391304347826086,45.284271247461895,4,image.7455_with_target,10_output,False
0.5,14107,1.0,0.5,14107,33,512,0,0,33,512,144.01181102362204,70.59273692221467,1097.539105243401,0.064453125,1097.539105243401,5,image.7455_with_target,10_output,False
0.5,1645,1.0,0.5,1645,46,48,35,427,81,475,140.6313725490196,1.7482192840512873,151.1959594928933,0.9583333333333334,151.1959594928933,0,image_1644_with_target,10_output,False
0.5,14169,1.0,0.5,14169,37,512,0,0,37,512,141.6968503937008,70.92942198739398,1102.8528137423857,0.072265625,1102.8528137423857,1,image_1644_with_target,10_output,False
0.5,249,1.0,0.5,249,17,21,36,432,53,453,139.18039215686275,21.71506226696064,60.526911934581186,0.8095238095238095,60.526911934581186,0,image_4395_with_target,10_output,False
0.5,14095,1.0,0.5,14095,32,512,0,0,32,512,142.9607843137255,70.2378482363679,1088.0832611206852,0.0625,1088.0832611206852,1,image_4395_with_target,10_output,False
0.5,1597,1.0,0.5,1597,44,46,37,390,81,436,140.08627450980393,2.0675854638042326,146.12489168102786,0.9565217391304348,146.12489168102786,0,image.7888_with_target,10_output,False
0.5,14082,1.0,0.5,14082,32,512,0,0,32,512,143.55905511811022,70.73196089477928,1093.8822509939087,0.0625,1093.8822509939087,1,image.7888_with_target,10_output,False
0.5,1585,1.0,0.5,1585,44,46,37,403,81,449,139.8,2.166410241236256,146.12489168102783,0.9565217391304348,146.12489168102783,0,image.5606_with_target,10_output,False
0.5,14099,1.0,0.5,14099,32,512,0,0,32,512,143.16862745098038,70.3959042096105,1087.254833995939,0.0625,1087.254833995939,1,image.5606_with_target,10_output,False
0.5,189,1.0,0.5,189,15,16,40,431,55,447,136.26171875,46.37101839560889,48.62741699796952,0.9375,48.62741699796952,0,image.1739_with_target,10_output,False
0.5,14188,1.0,0.5,14188,32,512,0,0,32,512,143.59448818897638,70.30017843313185,1087.5979797464465,0.0625,1087.5979797464465,1,image.1739_with_target,10_output,False
