image_name,is_cropped,total_area,roi_area,num_contours
image.7923_with_target,False,17701,14393,2
image_5916_with_target,False,17566,14247,2
image.0426_with_target,False,19097,15771,2
image.7455_with_target,False,17681,14314,6
image_1644_with_target,False,19367,15814,2
image_4395_with_target,False,17807,14344,2
image.7888_with_target,False,19101,15679,2
image.5606_with_target,False,19101,15684,2
image.1739_with_target,False,17619,14377,2
image_5709_with_target,False,17487,14188,2
image_7676_with_target,False,17770,14319,2
image_3626_with_target,False,17615,14362,2
image.9923_with_target,False,17739,14310,2
image.7984_with_target,False,19126,15782,1
image_1498_with_target,False,17498,14165,2
image_7415_with_target,False,19071,15731,1
image.8607_with_target,False,17579,14133,1
image_1624_with_target,False,17585,14248,2
image_1350_with_target,False,19013,15777,1
image_1304_with_target,False,18105,14782,3
image.7188_with_target,False,18596,15157,3
image_0769_with_target,False,19269,15949,2
image_8607_with_target,False,17579,14133,1
image.9441_with_target,False,18185,14885,2
image.6014_with_target,False,18016,17830,3
image.1452_with_target,False,17574,14299,2
image.3892_with_target,False,19252,15883,2
image.1624_with_target,False,17585,14248,2
image.2083_with_target,False,19278,15844,2
image_1608_with_target,False,17642,14278,2
image_3290_with_target,False,17430,14191,1
image_1366_with_target,False,17586,14252,2
image.8336_with_target,False,17568,14190,2
image_4493_with_target,False,17690,14398,1
image_1930_with_target,False,17793,14478,2
image_1966_with_target,False,19238,15965,2
image.4905_with_target,False,17619,14311,2
image.6902_with_target,False,19355,16042,2
image_6980_with_target,False,19168,15862,1
image.9557_with_target,False,19306,15992,1
image_8504_with_target,False,19340,15788,1
image.1304_with_target,False,18105,14782,3
image_8065_with_target,False,19328,15867,1
image_0202_with_target,False,18798,18725,3
image_9557_with_target,False,19306,15992,1
image_4512_with_target,False,18957,15553,2
image_0898_with_target,False,17722,14345,2
image.1938_with_target,False,17655,14370,2
image.8039_with_target,False,17796,14419,1
image.4395_with_target,False,17807,14344,2
image.1104_with_target,False,18787,15459,1
image_8336_with_target,False,17568,14190,2
image_1679_with_target,False,19216,15806,2
image_0129_with_target,False,17816,14463,12
image.8504_with_target,False,19340,15788,1
image.3387_with_target,False,19259,16002,2
image.1350_with_target,False,19013,15777,1
image.2845_with_target,False,17808,14489,1
image.6980_with_target,False,19168,15862,1
image_1739_with_target,False,17619,14377,2
image_6902_with_target,False,19355,16042,2
image_4191_with_target,False,17834,17789,2
image.3144_with_target,False,18965,15721,2
image.4493_with_target,False,17690,14398,1
image_3892_with_target,False,19252,15883,2
image.1930_with_target,False,17793,14478,2
image.4512_with_target,False,18957,15553,2
image_3387_with_target,False,19259,16002,2
image.8688_with_target,False,17536,14132,1
image.2837_with_target,False,19071,15786,3
image_9985_with_target,False,17526,14188,2
image.7175_with_target,False,19168,15836,2
image.9034_with_target,False,19432,14510,1
image_7009_with_target,False,17582,14322,2
image.4191_with_target,False,17834,17789,2
image_1269_with_target,False,17642,14130,2
image_5917_with_target,False,17580,14249,2
image_2083_with_target,False,19278,15844,2
image_5606_with_target,False,19101,15684,2
image_9923_with_target,False,17739,14310,2
image.0932_with_target,False,17614,14201,9
image.7009_with_target,False,17582,14322,2
image.3812_with_target,False,18838,15540,1
image.2354_with_target,False,19066,15700,2
image_3812_with_target,False,18838,15540,1
image.4153_with_target,False,17745,14368,2
image_0440_with_target,False,19206,15828,2
image_4153_with_target,False,17745,14368,2
image_9441_with_target,False,18185,14885,2
image_6904_with_target,False,19134,15837,1
image.7756_with_target,False,19051,15695,2
image.9985_with_target,False,17526,14188,2
image_0426_with_target,False,19097,15771,2
image.3626_with_target,False,17615,14362,2
image_7864_with_target,False,17873,17776,3
image_2493_with_target,False,17951,14645,4
image_4905_with_target,False,17619,14311,2
image.5917_with_target,False,17580,14249,2
image.0898_with_target,False,17722,14345,2
image_9034_with_target,False,19432,14510,1
image_6014_with_target,False,18016,17830,3
image.0769_with_target,False,19269,15949,2
image.2880_with_target,False,18735,15406,3
image.7676_with_target,False,17770,14319,2
image.1027_with_target,False,17601,14232,9
image.7190_with_target,False,17442,14160,2
image_6015_with_target,False,18116,17970,4
image_7984_with_target,False,19126,15782,1
image_8039_with_target,False,17796,14419,1
image_4624_with_target,False,19214,15735,2
image_7840_with_target,False,17720,14164,3
image.6977_with_target,False,20912,17638,2
image_2253_with_target,False,19132,15742,2
image.6842_with_target,False,19097,15818,2
image.6807_with_target,False,19067,15780,2
image_0932_with_target,False,17614,14201,9
image_6842_with_target,False,19097,15818,2
image_4552_with_target,False,19234,15897,3
image_6977_with_target,False,20912,17638,2
image_2354_with_target,False,19066,15700,2
image.4552_with_target,False,19234,15897,3
image_7707_with_target,False,17744,14335,2
image.9035_with_target,False,18994,15695,2
image_7188_with_target,False,18596,15157,3
image.4148_with_target,False,17630,14261,2
image_6284_with_target,False,18895,15586,2
image.4624_with_target,False,19214,15735,2
image_1452_with_target,False,17574,14299,2
image_2845_with_target,False,17808,14489,1
image_1938_with_target,False,17655,14370,2
image_7923_with_target,False,17701,14393,2
image.7415_with_target,False,19071,15731,1
image_7175_with_target,False,19168,15836,2
image.1644_with_target,False,19367,15814,2
image.5709_with_target,False,17487,14188,2
image.7864_with_target,False,17873,17776,3
image.3290_with_target,False,17430,14191,1
image.2493_with_target,False,17951,14645,4
image_9035_with_target,False,18994,15695,2
image.7707_with_target,False,17744,14335,2
image.1366_with_target,False,17586,14252,2
image_6807_with_target,False,19067,15780,2
image_7888_with_target,False,19101,15679,2
image_1226_with_target,False,19130,15764,2
image.0129_with_target,False,17816,14463,12
image.0689_with_target,False,17729,14317,2
image.6284_with_target,False,18895,15586,2
image_3144_with_target,False,18965,15721,2
image.1608_with_target,False,17642,14278,2
image.1226_with_target,False,19130,15764,2
image_8184_with_target,False,17646,14291,2
image.1269_with_target,False,17642,14130,2
image_7455_with_target,False,17681,14314,6
image.5916_with_target,False,17566,14247,2
image.6904_with_target,False,19134,15837,1
image.8184_with_target,False,17646,14291,2
image.2253_with_target,False,19132,15742,2
image.7840_with_target,False,17720,14164,3
image_0689_with_target,False,17729,14317,2
image.2538_with_target,False,17610,14334,2
image.8065_with_target,False,19328,15867,1
image.1966_with_target,False,19238,15965,2
image_2880_with_target,False,18735,15406,3
image_7190_with_target,False,17442,14160,2
image.6015_with_target,False,18116,17970,4
image.0111_with_target,False,19005,15709,2
image_4148_with_target,False,17630,14261,2
image.1498_with_target,False,17498,14165,2
image_1104_with_target,False,18787,15459,1
image.0440_with_target,False,19206,15828,2
image_0111_with_target,False,19005,15709,2
image_1027_with_target,False,17601,14232,9
image.0202_with_target,False,18798,18725,3
image_7756_with_target,False,19051,15695,2
image.1679_with_target,False,19216,15806,2
image_2837_with_target,False,19071,15786,3
image_8688_with_target,False,17536,14132,1
image_2538_with_target,False,17610,14334,2
image.2253_with_target,False,19132,15742,2
image.6015_with_target,False,18116,17970,4
image.2083_with_target,False,19278,15844,2
image.2837_with_target,False,19071,15786,3
image.7188_with_target,False,18596,15157,3
image.0129_with_target,False,17816,14463,12
image.7676_with_target,False,17770,14319,2
image.7888_with_target,False,19101,15679,2
image.1608_with_target,False,17642,14278,2
image.9923_with_target,False,17739,14310,2
image.5917_with_target,False,17580,14249,2
image.3626_with_target,False,17615,14362,2
image.3387_with_target,False,19259,16002,2
image.4624_with_target,False,19214,15735,2
image.6842_with_target,False,19097,15818,2
image.1366_with_target,False,17586,14252,2
image.1350_with_target,False,19013,15777,1
image.1679_with_target,False,19216,15806,2
image.9985_with_target,False,17526,14188,2
image.8336_with_target,False,17568,14190,2
image.6904_with_target,False,19134,15837,1
image.3892_with_target,False,19252,15883,2
image.2354_with_target,False,19066,15700,2
image.0440_with_target,False,19206,15828,2
image.8504_with_target,False,19340,15788,1
image.4512_with_target,False,18957,15553,2
image.7864_with_target,False,17873,17776,3
image.1027_with_target,False,17601,14232,9
image.1966_with_target,False,19238,15965,2
image.5606_with_target,False,19101,15684,2
image.4395_with_target,False,17807,14344,2
image.6014_with_target,False,18016,17830,3
image.4905_with_target,False,17619,14311,2
image.6807_with_target,False,19067,15780,2
image.3290_with_target,False,17430,14191,1
image.6902_with_target,False,19355,16042,2
image.4552_with_target,False,19234,15897,3
image.1930_with_target,False,17793,14478,2
image.2538_with_target,False,17610,14334,2
image.0769_with_target,False,19269,15949,2
image.3812_with_target,False,18838,15540,1
image.7455_with_target,False,17681,14314,6
image.7923_with_target,False,17701,14393,2
image.1269_with_target,False,17642,14130,2
image.1226_with_target,False,19130,15764,2
image.4191_with_target,False,17834,17789,2
image.5916_with_target,False,17566,14247,2
image.9557_with_target,False,19306,15992,1
image.1938_with_target,False,17655,14370,2
image.1498_with_target,False,17498,14165,2
image.6284_with_target,False,18895,15586,2
image.0932_with_target,False,17614,14201,9
image.8184_with_target,False,17646,14291,2
image.5709_with_target,False,17487,14188,2
image.7415_with_target,False,19071,15731,1
image.1644_with_target,False,19367,15814,2
image.4148_with_target,False,17630,14261,2
image.7756_with_target,False,19051,15695,2
image.8039_with_target,False,17796,14419,1
image.2493_with_target,False,17951,14645,4
image.7175_with_target,False,19168,15836,2
image.2880_with_target,False,18735,15406,3
image.8607_with_target,False,17579,14133,1
image.1624_with_target,False,17585,14248,2
image.1452_with_target,False,17574,14299,2
image.6977_with_target,False,20912,17638,2
image.1739_with_target,False,17619,14377,2
image.0111_with_target,False,19005,15709,2
image.9035_with_target,False,18994,15695,2
image.2845_with_target,False,17808,14489,1
image.7707_with_target,False,17744,14335,2
image.0426_with_target,False,19097,15771,2
image.1104_with_target,False,18787,15459,1
image.1304_with_target,False,18105,14782,3
image.9034_with_target,False,19432,14510,1
image.7009_with_target,False,17582,14322,2
image.0689_with_target,False,17729,14317,2
image.4153_with_target,False,17745,14368,2
image.7190_with_target,False,17442,14160,2
image.4493_with_target,False,17690,14398,1
image.9441_with_target,False,18185,14885,2
image.0898_with_target,False,17722,14345,2
image.3144_with_target,False,18965,15721,2
image.7840_with_target,False,17720,14164,3
image.8688_with_target,False,17536,14132,1
image.0202_with_target,False,18798,18725,3
image.8065_with_target,False,19328,15867,1
image.6980_with_target,False,19168,15862,1
image.7984_with_target,False,19126,15782,1
image.7923_with_target,True,395,395,6
image_5916_with_target,True,339,339,7
image.0426_with_target,True,1779,1779,5
image.7455_with_target,True,429,429,14
image_1644_with_target,True,1858,1858,14
image_4395_with_target,True,352,352,9
image.7888_with_target,True,1749,1749,8
image.5606_with_target,True,1705,1705,9
image.1739_with_target,True,1148,1148,5
image_5709_with_target,True,254,254,9
image_7676_with_target,True,432,432,11
image_3626_with_target,True,787,787,11
image.9923_with_target,True,385,385,13
image.7984_with_target,True,1818,1818,8
image_1498_with_target,True,254,254,9
image_7415_with_target,True,1798,1798,9
image.8607_with_target,True,222,222,12
image_1624_with_target,True,337,337,8
image_1350_with_target,True,2302,2302,11
image_1304_with_target,True,1721,1721,11
image.7188_with_target,True,986,986,11
image_0769_with_target,True,1999,1999,9
image_8607_with_target,True,222,222,12
image.9441_with_target,True,1055,1055,9
image.6014_with_target,True,211,211,6
image.1452_with_target,True,457,457,9
image.3892_with_target,True,1935,1935,11
image.1624_with_target,True,337,337,8
image.2083_with_target,True,1936,1936,7
image_1608_with_target,True,224,224,10
image_3290_with_target,True,888,888,4
image_1366_with_target,True,342,342,8
image.8336_with_target,True,231,231,9
image_4493_with_target,True,432,432,10
image_1930_with_target,True,595,595,10
image_1966_with_target,True,2153,2153,11
image.4905_with_target,True,258,258,7
image.6902_with_target,True,349,349,10
image_6980_with_target,True,1898,1898,9
image.9557_with_target,True,2005,2005,9
image_8504_with_target,True,1823,1823,13
image.1304_with_target,True,1721,1721,11
image_8065_with_target,True,1887,1887,12
image_0202_with_target,True,868,868,4
image_9557_with_target,True,2005,2005,9
image_4512_with_target,True,1560,1560,7
image_0898_with_target,True,354,354,7
image.1938_with_target,True,309,309,8
image.8039_with_target,True,455,455,7
image.4395_with_target,True,352,352,9
image.1104_with_target,True,897,897,9
image_8336_with_target,True,231,231,9
image_1679_with_target,True,1916,1916,9
image_0129_with_target,True,617,617,16
image.8504_with_target,True,1823,1823,13
image.3387_with_target,True,2554,2554,7
image.1350_with_target,True,2302,2302,11
image.2845_with_target,True,568,568,11
image.6980_with_target,True,1898,1898,9
image_1739_with_target,True,1148,1148,5
image_6902_with_target,True,349,349,10
image_4191_with_target,True,483,483,17
image.3144_with_target,True,1943,1943,9
image.4493_with_target,True,432,432,10
image_3892_with_target,True,1935,1935,11
image.1930_with_target,True,595,595,10
image.4512_with_target,True,1560,1560,7
image_3387_with_target,True,2554,2554,7
image.8688_with_target,True,192,192,8
image.2837_with_target,True,2027,2027,13
image_9985_with_target,True,274,274,9
image.7175_with_target,True,1868,1868,10
image.9034_with_target,True,646,646,10
image_7009_with_target,True,421,421,10
image.4191_with_target,True,483,483,17
image_1269_with_target,True,176,176,10
image_5917_with_target,True,329,329,8
image_2083_with_target,True,1936,1936,7
image_5606_with_target,True,1705,1705,9
image_9923_with_target,True,385,385,13
image.0932_with_target,True,269,269,13
image.7009_with_target,True,421,421,10
image.3812_with_target,True,1641,1641,9
image.2354_with_target,True,1776,1776,6
image_3812_with_target,True,1641,1641,9
image.4153_with_target,True,441,441,8
image_0440_with_target,True,1842,1842,9
image_4153_with_target,True,441,441,8
image_9441_with_target,True,1055,1055,9
image_6904_with_target,True,1925,1925,12
image.7756_with_target,True,1826,1826,10
image.9985_with_target,True,274,274,9
image_0426_with_target,True,1779,1779,5
image.3626_with_target,True,787,787,11
image_7864_with_target,True,484,484,9
image_2493_with_target,True,620,620,11
image_4905_with_target,True,258,258,7
image.5917_with_target,True,329,329,8
image.0898_with_target,True,354,354,7
image_9034_with_target,True,646,646,10
image_6014_with_target,True,211,211,6
image.0769_with_target,True,1999,1999,9
image.2880_with_target,True,1318,1318,7
image.7676_with_target,True,432,432,11
image.1027_with_target,True,319,319,14
image.7190_with_target,True,350,350,13
image_6015_with_target,True,259,259,8
image_7984_with_target,True,1818,1818,8
image_8039_with_target,True,455,455,7
image_4624_with_target,True,1708,1708,7
image_7840_with_target,True,259,259,15
image.6977_with_target,True,1999,1999,12
image_2253_with_target,True,1844,1844,7
image.6842_with_target,True,1892,1892,8
image.6807_with_target,True,1901,1901,10
image_0932_with_target,True,269,269,13
image_6842_with_target,True,1892,1892,8
image_4552_with_target,True,1900,1900,10
image_6977_with_target,True,1999,1999,12
image_2354_with_target,True,1776,1776,6
image.4552_with_target,True,1900,1900,10
image_7707_with_target,True,434,434,9
image.9035_with_target,True,1753,1753,8
image_7188_with_target,True,986,986,11
image.4148_with_target,True,405,405,8
image_6284_with_target,True,1640,1640,8
image.4624_with_target,True,1708,1708,7
image_1452_with_target,True,457,457,9
image_2845_with_target,True,568,568,11
image_1938_with_target,True,309,309,8
image_7923_with_target,True,395,395,6
image.7415_with_target,True,1798,1798,9
image_7175_with_target,True,1868,1868,10
image.1644_with_target,True,1858,1858,14
image.5709_with_target,True,254,254,9
image.7864_with_target,True,484,484,9
image.3290_with_target,True,888,888,4
image.2493_with_target,True,620,620,11
image_9035_with_target,True,1753,1753,8
image.7707_with_target,True,434,434,9
image.1366_with_target,True,342,342,8
image_6807_with_target,True,1901,1901,10
image_7888_with_target,True,1749,1749,8
image_1226_with_target,True,1840,1840,10
image.0129_with_target,True,617,617,16
image.0689_with_target,True,372,372,8
image.6284_with_target,True,1640,1640,8
image_3144_with_target,True,1943,1943,9
image.1608_with_target,True,224,224,10
image.1226_with_target,True,1840,1840,10
image_8184_with_target,True,336,336,7
image.1269_with_target,True,176,176,10
image_7455_with_target,True,429,429,14
image.5916_with_target,True,339,339,7
image.6904_with_target,True,1925,1925,12
image.8184_with_target,True,336,336,7
image.2253_with_target,True,1844,1844,7
image.7840_with_target,True,259,259,15
image_0689_with_target,True,372,372,8
image.2538_with_target,True,733,733,13
image.8065_with_target,True,1887,1887,12
image.1966_with_target,True,2153,2153,11
image_2880_with_target,True,1318,1318,7
image_7190_with_target,True,350,350,13
image.6015_with_target,True,259,259,8
image.0111_with_target,True,1779,1779,8
image_4148_with_target,True,405,405,8
image.1498_with_target,True,254,254,9
image_1104_with_target,True,897,897,9
image.0440_with_target,True,1842,1842,9
image_0111_with_target,True,1779,1779,8
image_1027_with_target,True,319,319,14
image.0202_with_target,True,868,868,4
