image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image.0059_with_target,16,0.5,0.0,0.5,0.5,69.5,1112
image.0096_with_target,10,0.5,0.0,0.5,0.5,4794.2,47942
image.0108_with_target,12,0.5,0.0,0.5,0.5,3916.1666666666665,46994
image.0111_with_target,20,0.5,0.0,0.5,0.5,1748.8,34976
image.0129_with_target,56,0.5,0.0,0.5,0.5,538.5714285714286,30160
image.0156_with_target,20,0.5,0.0,0.5,0.5,2353.1,47062
image.0164_with_target,12,0.5,0.0,0.5,0.5,245.33333333333334,2944
image.0202_with_target,14,0.5,0.0,0.5,0.5,2799.0,39186
image.0220_with_target,28,0.5,0.0,0.5,0.5,8.642857142857142,242
image.0242_with_target,14,0.5,0.0,0.5,0.5,219.85714285714286,3078
image.0260_with_target,18,0.5,0.0,0.5,0.5,198.11111111111111,3566
image.0289_with_target,20,0.5,0.0,0.5,0.5,13.1,262
image.0321_with_target,20,0.5,0.0,0.5,0.5,183.7,3674
image.0413_with_target,24,0.5,0.0,0.5,0.5,1966.5833333333333,47198
image.0426_with_target,14,0.5,0.0,0.5,0.5,2507.1428571428573,35100
image.0429_with_target,12,0.5,0.0,0.5,0.5,5.333333333333333,64
image.0440_with_target,22,0.5,0.0,0.5,0.5,1606.3636363636363,35340
image.0461_with_target,8,0.5,0.0,0.5,0.5,6710.25,53682
image.0516_with_target,20,0.5,0.0,0.5,0.5,168.6,3372
image.0686_with_target,6,0.5,0.0,0.5,0.5,7811.333333333333,46868
image.0689_with_target,20,0.5,0.0,0.5,0.5,1468.9,29378
image.0714_with_target,8,0.5,0.0,0.5,0.5,6049.0,48392
image.0769_with_target,22,0.5,0.0,0.5,0.5,1631.6363636363637,35896
image.0830_with_target,12,0.5,0.0,0.5,0.5,251.66666666666666,3020
image.0896_with_target,10,0.5,0.0,0.5,0.5,5387.8,53878
image.0898_with_target,18,0.5,0.0,0.5,0.5,1633.2222222222222,29398
image.0907_with_target,24,0.5,0.0,0.5,0.5,137.16666666666666,3292
image.0932_with_target,44,0.5,0.0,0.5,0.5,657.7272727272727,28940
image.0946_with_target,38,0.5,0.0,0.5,0.5,1246.157894736842,47354
image.1018_with_target,18,0.5,0.0,0.5,0.5,187.66666666666666,3378
image.1027_with_target,46,0.5,0.0,0.5,0.5,632.6521739130435,29102
image.1032_with_target,22,0.5,0.0,0.5,0.5,2154.181818181818,47392
image.1033_with_target,18,0.5,0.0,0.5,0.5,2631.222222222222,47362
image.1053_with_target,16,0.5,0.0,0.5,0.5,198.375,3174
image.1104_with_target,20,0.5,0.0,0.5,0.5,1635.6,32712
image.1123_with_target,12,0.5,0.0,0.5,0.5,5.833333333333333,70
image.1214_with_target,14,0.5,0.0,0.5,0.5,225.57142857142858,3158
image.1226_with_target,24,0.5,0.0,0.5,0.5,1467.0,35208
image.1249_with_target,14,0.5,0.0,0.5,0.5,3398.285714285714,47576
image.1269_with_target,24,0.5,0.0,0.5,0.5,1192.1666666666667,28612
image.1275_with_target,18,0.5,0.0,0.5,0.5,194.22222222222223,3496
image.1303_with_target,8,0.5,0.0,0.5,0.5,6747.75,53982
