image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image.0037_with_target,10,0.5,0.0,0.5,0.5,1555.4,15554
image.0038_with_target,14,0.5,0.0,0.5,0.5,1012.1428571428571,14170
image.0059_with_target,21,0.5,0.0,0.5,0.5,968.5714285714286,20340
image.0088_with_target,8,0.5,0.0,0.5,0.5,1915.75,15326
image.0096_with_target,28,0.5,0.0,0.5,0.5,387.2857142857143,10844
image.0108_with_target,18,0.5,0.0,0.5,0.5,533.2222222222222,9598
image.0111_with_target,8,0.5,0.0,0.5,0.5,1753.75,14030
image.0126_with_target,6,0.5,0.0,0.5,0.5,2499.0,14994
image.0128_with_target,6,0.5,0.0,0.5,0.5,2722.3333333333335,16334
image.0129_with_target,36,0.5,0.0,0.5,0.5,251.22222222222223,9044
image.0134_with_target,4,0.5,0.0,0.5,0.5,2423.5,9694
image.0137_with_target,20,0.5,0.0,0.5,0.5,561.6,11232
image.0156_with_target,6,0.5,0.0,0.5,0.5,1629.0,9774
image.0164_with_target,5,0.5,0.0,0.5,0.5,2384.6,11923
image.0170_with_target,18,0.5,0.0,0.5,0.5,865.5555555555555,15580
image.0182_with_target,6,0.5,0.0,0.5,0.5,1705.3333333333333,10232
image.0184_with_target,10,0.5,0.0,0.5,0.5,1609.8,16098
image.0202_with_target,12,0.5,0.0,0.5,0.5,903.6666666666666,10844
image.0220_with_target,12,0.5,0.0,0.5,0.5,675.4166666666666,8105
image.0232_with_target,16,0.5,0.0,0.5,0.5,1005.75,16092
image.0242_with_target,3,0.5,0.0,0.5,0.5,4126.333333333333,12379
image.0253_with_target,22,0.5,0.0,0.5,0.5,516.8181818181819,11370
image.0260_with_target,3,0.5,0.0,0.5,0.5,4353.666666666667,13061
image.0270_with_target,8,0.5,0.0,0.5,0.5,1169.25,9354
image.0272_with_target,22,0.5,0.0,0.5,0.5,507.09090909090907,11156
image.0280_with_target,26,0.5,0.0,0.5,0.5,596.6923076923077,15514
image.0281_with_target,8,0.5,0.0,0.5,0.5,1350.5,10804
image.0289_with_target,8,0.5,0.0,0.5,0.5,1036.125,8289
image.0301_with_target,6,0.5,0.0,0.5,0.5,1708.0,10248
image.0318_with_target,8,0.5,0.0,0.5,0.5,1272.25,10178
image.0321_with_target,3,0.5,0.0,0.5,0.5,4269.666666666667,12809
image.0362_with_target,8,0.5,0.0,0.5,0.5,1988.0,15904
image.0386_with_target,8,0.5,0.0,0.5,0.5,1207.25,9658
image.0394_with_target,20,0.5,0.0,0.5,0.5,518.8,10376
image.0413_with_target,10,0.5,0.0,0.5,0.5,984.2,9842
image.0426_with_target,8,0.5,0.0,0.5,0.5,1778.0,14224
image.0429_with_target,4,0.5,0.0,0.5,0.5,1987.0,7948
image.0440_with_target,8,0.5,0.0,0.5,0.5,1816.25,14530
image.0442_with_target,14,0.5,0.0,0.5,0.5,780.2857142857143,10924
image.0443_with_target,18,0.5,0.0,0.5,0.5,855.7777777777778,15404
image.0444_with_target,14,0.5,0.0,0.5,0.5,1165.0,16310
image.0451_with_target,18,0.5,0.0,0.5,0.5,740.4444444444445,13328
