image_name,is_cropped,total_area,roi_area,num_contours
image.0111_with_target,False,1587,1569,1
image.0129_with_target,False,427,400,10
image.0202_with_target,False,803,788,2
image.0426_with_target,False,1669,1628,1
image.0440_with_target,False,1755,1681,1
image.0689_with_target,False,259,224,2
image.0769_with_target,False,1858,1838,2
image.0898_with_target,False,284,237,1
image.0932_with_target,False,155,66,8
image.1027_with_target,False,137,100,6
image.1104_with_target,False,680,662,2
image.1226_with_target,False,1673,1642,2
image.1269_with_target,False,95,79,7
image.1304_with_target,False,1458,1448,2
image.1350_with_target,False,1624,1547,1
image.1366_with_target,False,201,159,1
image.1452_with_target,False,164,159,2
image.1498_with_target,False,75,55,2
image.1608_with_target,False,149,63,1
image.1624_with_target,False,182,142,1
image.1644_with_target,False,1878,1713,9
image.1679_with_target,False,1754,1729,6
image.1739_with_target,False,358,233,9
image.1930_with_target,False,370,343,2
image.1938_with_target,False,241,70,1
image.1966_with_target,False,1794,1768,2
image.2083_with_target,False,1835,1817,6
image.2253_with_target,False,1697,1653,3
image.2354_with_target,False,1628,1594,2
image.2493_with_target,False,452,429,3
image.2538_with_target,False,261,214,2
image.2837_with_target,False,1686,1649,3
image.2845_with_target,False,386,378,2
image.2880_with_target,False,1186,1155,2
image.3144_with_target,False,1571,1538,1
image.3290_with_target,False,112,8,1
image.3387_with_target,False,2057,1874,10
image.3626_with_target,False,231,187,1
image.3812_with_target,False,1476,1440,1
image.3892_with_target,False,1853,1764,1
image.4148_with_target,False,211,177,2
image.4153_with_target,False,327,250,2
image.4191_with_target,False,355,334,11
image.4395_with_target,False,265,250,4
image.4493_with_target,False,298,220,2
image.4512_with_target,False,1510,1435,1
image.4552_with_target,False,1771,1710,3
image.4624_with_target,False,1643,1619,3
image.4905_with_target,False,203,63,1
image.5606_with_target,False,1609,1580,5
image.5709_with_target,False,83,41,3
image.5916_with_target,False,145,136,2
image.5917_with_target,False,134,121,2
image.6014_with_target,False,482,126,4
image.6015_with_target,False,478,178,4
image.6284_with_target,False,1478,1461,2
image.6807_with_target,False,1655,1639,1
image.6842_with_target,False,1691,1681,1
image.6902_with_target,False,1903,133,2
image.6904_with_target,False,1682,1658,2
image.6977_with_target,False,3540,1721,2
image.6980_with_target,False,1716,1689,2
image.7009_with_target,False,233,196,2
image.7175_with_target,False,1729,1678,1
image.7188_with_target,False,1160,758,3
image.7190_with_target,False,79,27,2
image.7415_with_target,False,1601,1581,2
image.7455_with_target,False,267,229,10
image.7676_with_target,False,314,276,8
image.7707_with_target,False,298,246,2
image.7756_with_target,False,1600,1576,2
image.7840_with_target,False,180,176,10
image.7864_with_target,False,288,154,7
image.7888_with_target,False,1642,1616,6
image.7923_with_target,False,259,259,1
image.7984_with_target,False,1655,1616,2
image.8039_with_target,False,267,250,2
image.8065_with_target,False,1805,1779,8
image.8184_with_target,False,219,182,2
image.8336_with_target,False,115,83,2
image.8504_with_target,False,1799,1729,10
image.8607_with_target,False,93,74,10
image.8688_with_target,False,48,8,1
image.9034_with_target,False,2014,374,2
image.9035_with_target,False,1553,1545,1
image.9441_with_target,False,822,790,3
image.9557_with_target,False,1890,1825,2
image.9923_with_target,False,308,227,10
image.9985_with_target,False,117,68,2
image_0111_with_target,False,1587,1569,1
image_0129_with_target,False,427,400,10
image_0202_with_target,False,803,788,2
image_0426_with_target,False,1669,1628,1
